#,籤號,等級,宮位,詩曰一,詩曰二,詩意,解曰,故事,故事內容,家宅,自身,求財,交易,婚姻,六甲,行人,田蠶,六畜,尋人,訟詞,移徙,失物,疾病,山墳
40,第四十籤,中籤,酉宮,"紅輪西墜兔東升
陰長陽消是兩形
若是女人占此卦
增添福祿稱心情","紅輪西墜兔東昇
陰長陽消百事亨
是若女人宜望用
增添財祿福其心",此卦陰長陽消之象。凡事先難后易也。,陰利女人。不宜男子。若是求謀。先凶后吉。,馬援女為皇后,漢明帝劉莊的皇后是東漢初名將馬援的女兒。馬援在新莽時，因私縱囚犯，亡命西北，後依附劉秀。馬援曾說：“男兒當死於邊野，以馬革裹屍還葬！”後來成語“馬革裹屍”就成了形容英勇壯烈的詞彙。馬援一生，為東漢王立下許多戰功。後在遠征武陵、五溪蠻夷時，病死軍中。他死後，還遭受漢明帝女婿梁松誣告，被追收新息侯印緩。馬援有三個女兒，其中三小姐最聰明靈秀，他在世時，曾將三小姐許婚竇家。但馬援死後，竇家也參與陷害馬援，於是馬援的藺夫人就堅決與竇家解除婚約。西元49年秋，藺夫人把她的三個女兒全部送進皇宮，因為三小姐最出眾，就被送入太子宮中。當時不僅陰皇后對她印象很好，太子劉莊也很寵愛她。西元57年，光武帝死，劉莊即位，是為明帝，冊封馬貴人為皇后。馬皇后沒有生子，明帝立賈貴人生的兒子劉炟(da，即漢章帝)為皇太子，由馬皇后撫養，馬皇后悉心撫育劉炟，母子關係甚厚。馬皇后吸取了父親遭人排擠的教訓，即使身為後宮之主，仍平易近人，生活儉樸，常常穿粗布衣裙。她德、才、貌俱全，很喜歡讀書，雖不干預朝政，但對世事卻明斷有理，連明帝也十分佩服。西元75年，明帝死，太子劉炟即位，是為章帝，尊馬皇后為皇太后。章帝打算給馬太后的三位哥哥封候爵，太后不允。西元79年，全國豐收，章帝遂封三個舅舅為列侯，三個舅舅封侯後便棄官歸第。馬皇后的一生謙遜樸實。《續列女傳》稱讚她“在家則可為眾女師範，在國則可為母后表儀。”西元79年六月，馬皇后病逝，終年四十一歲，謚號“明德”，與明帝合葬于顯節陵。,不利,祈福,守待,吉,不合,虛（女）,阻,旺,旺,隔,虧,大吉,空,有驚,大吉
41,第四十一籤,中籤,酉宮,"無限好事君須記
恰如認賊作為子
莫貪眼下有些甜
可慮他時還受苦","無限好言君記取
卻為認賊將作子
莫貪眼下有些甜
更慮他年前樣看",此卦認賊作子之象。凡事認真作假。,只這一著。君子莫錯。牢記在心。不生寂寞。,董卓郿塢藏金,董卓雖然權傾一時，在郿塢庫藏大量財寶，但經過司徒王允與貂蟬合謀，董卓終被呂布所殺。,不安,平常,守待,難,未合,男。驚,至,半熟,安,至,宜和,祈保,難尋,禳星,中平
42,第四十二籤,上籤,酉宮,"君垂恩澤潤無邊
覆禱祈禳沒黨偏
一切有情皆受用
均沾樂利得週全","君皇聖后終為恩
復待祈禳無損增
一切有情皆受用
人間天上得期亨",此卦天垂恩澤之象。凡事成就大吉也。,天皇降恩。始終莫忘。晨昏禮念。可宜燒香。,溫公入相除新法,宋神宗王安石變法時，司馬光（溫公）與蘇軾、歐陽修等舊黨皆反對，等宋神宗病逝，哲宗即位，其祖母太皇太后高氏早先即對王安石不滿，故召回年邁的司馬光任宰相之位。司馬光以激烈方式廢除新法、恢復舊制，舊黨如蘇軾反對在新法行之有年之後以激烈措施復舊，遭司馬光駁斥不理，司馬光於上任八個月後病逝。,祈福,冬吉,未有,成,中吉,平安,動,中平,中平,見,勝,守舊,空,解,安
43,第四十三籤,上籤,戌宮,"天地交泰萬物新
自形自色自怡神
森羅萬象皆精彩
事事和諧得稱人","天地變通萬物全
自營自養自安然
生羅萬象皆精彩
事事如心謝聖賢",此卦大地交泰之象。凡事大吉無危也。,天生萬物。謀望皆通。福德相助。瑞氣匆匆。,泗水亭長作天子,劉邦在秦始皇時任泗水亭長，後來成為漢高祖。,吉,安,有,利,合,男,有阻,中平,中平,見,勝,利,東西,禳星,東西吉
44,第四十四籤,中籤,戌宮,"棋逢對手要藏機
黑白盤中未決時
到底欲知誰勝負
須教先著相機宜","棋逢敵手著相宜
黑白盤中未決時
皆因一著知勝敗
須教自有好推宜",此卦棋逢敵手之象。凡事用機關則吉也。,欲求心事。恰如圍棋。到底勝利。宜用心機。,周郎赤壁敗曹軍,三國時代火燒赤壁故事，周郎即東吳周瑜，曹軍是指曹操軍隊。,大利,平穩,遂,利,未合,女,阻,平,損,阻,宜和,守舊,空,祈保,守舊
45,第四十五籤,上籤,戌宮,"溫柔自是勝強剛
積善于門太吉昌
若是有人占此卦
宛如止渴遇瓊漿","溫柔自古勝剛強
積善之門大吉昌
若是有人占此卦
宛如正渴遇瑤漿",此卦積善溫柔之象。凡事貴人和合也。,天地有感。應驗非常。佛神護佑。得之莫忘。,張良受書圯上老人,秦末張良得黃石公傳授兵法的故事。張良曾閒步橋上，遇一老人故意將鞋丟到橋下，要求張良為他拾回並穿上。良敬其老，勉強為之，老人微笑，去而復返，要求張良於五日後破曉時再會於該地。良依約前往，老人已先在，並怒斥他遲到為無禮。如是者三，良不斷提前到，終於比老人早，老人喜，送他一冊《太公兵法》，要他好好研讀。謙抑敬老的張良得此秘笈，終能輔佐劉邦成其滅秦興漢的開國霸業。,吉,安,遂,利,合,男,阻,秋利,中平,見,勝,利,東方,祈福,東西向吉
46,第四十六籤,中籤,戌宮,"勸君耐守舊生涯
把定身心莫聽邪
直待有人輕著力
滿園枯木再開花","勤君耐守舊生涯
把定心腸勿起歹
直待有人輕著力
枯枝老樹再生花",此卦枯木生花之象。凡事自有成就也。,守舊守舊。事自成就。動則多殃。靜則無咎。,趙韓王為村學究,趙普原本是淮南滁州的一名鄉村教師（村學究）。公元956年，為了爭奪淮南江北地區，後周大將趙匡胤率領大軍與南唐守軍在滁州打了一場惡仗。由於得到了趙普的幫助（指點適當的攻擊路線與時機），趙匡胤大獲全勝，為他日後的帝業打下了必要的基礎。從此以後，趙普便被視作心腹，如影隨形地追隨趙匡胤建功立業。宋朝建立後，趙普參與制定了一系列重大決策，又輔助宋太祖統一了南中國。到了宋乾德二年（964年）趙普被任命為宰相，晉封為韓王。趙普一生先後三次做宰相，這在宋代並不多見。按理說，趙普身居宰相高位，又是頗受倚重的開國元勛，隻須照章辦事即可功德圓滿、善始善終，可是，趙普的仕途卻一波三折，並不順利。概言之，趙普的後半生是：因專橫跋扈而受制約、因貪圖錢財而受猜忌、因不學無術而受輕蔑、因結黨徇私而遭罷黜。就其秉性來說，來自大臣的不滿，來自皇帝的約束、猜忌，甚至是罷黜，都不是不能忍受，使他最不能容忍的就是君臣上下對他的輕視。而“半部《論語》治天下”正是在他第二次為相時的一句牢騷不平之語。宋初君臣認為，鑒於五代時期“大者稱帝，小者稱王”、“群犬交吠”般紛亂政局的根源在於藩鎮擁有重兵，不受中央節制。而要避免宋朝成為第六個短命王朝，就必須“興文教，抑武事”。為了培養更多的文士，中央政府“崇建太學，教養多士”，還迅速恢復和完善了科舉考試制度，加緊選拔文人充實各級官僚隊伍。宋太宗更是明確提出，要“與士大夫治天下”。君臣上下，注重文教蔚然成風。相形之下，趙普的學力已明顯地跟不上時代發展的需要。《宋史》卷256本傳記載：“普少習吏事，寡學術”。太祖曾多次向趙普問及前朝制度，他都無以對答。最使趙普難堪的一件事發生在宋太祖乾德初年，事情的經過是：“乾德建元，太祖謂古所未有，韓王（趙普）稱譽，盧（多遜）曰：‘王衍在蜀，曾有此號。’太祖大驚，以筆涂韓王面曰：‘爾怎得及他！’韓王經宿不敢洗”。這段話出自趙紹祖《讀書偶記》，《宋史》卷三《太祖本紀》也記載此事，卻多有不同，言太祖還說了一句話：作相須讀書人。分明是說，你趙普並不是一個讀書人，而不是讀書人就不能做宰相。如此看來，趙普后來在仕途上的失意就成了必然。宋太祖開寶六年（973年）趙普罷相，出任河陽三城節度使，這是他自當年滁州之戰結識趙匡胤以來，第一次遠離政治中心。太平興國六年（981年），趙普第二次出任宰相。趙普由野入朝，幾年間朝中任用了更多的文人，已是物是人非，今非昔比，趙普昔日不學無術的劣勢也就更加明顯地凸現出來，君臣們也越發認為趙普的學養不夠了。據南宋羅大經《鶴林玉露》乙編卷一記載：“趙普再相，人言普山東人，所讀者止《論語》，……太宗嘗以此語問普，普略不隱，對曰：‘臣平生所知，誠不出此。昔以其半輔太祖定天下，今欲以其半輔陛下致太平。’”這就是趙普“半部《論語》治天下”這句話的“原生態”。從趙普的回答中不難看出其強烈的情緒化色彩，這完全是一種牢騷不平之語：言外之意是說，我讀書範圍是不出《論語》一書，可我當年能夠靠它幫太祖平定天下，現在仍然能夠靠它輔佐陛下您把天下治理好。現今滿腹經綸的文臣儒士遍布朝野，哪個又能有我的功勞大、能力強呢？——恐怕這就是這句話的真實含義。,安,吉,待時,成,就,生女,阻,五分,難,杳,吉,守舊,空,求福,吉
47,第四十七籤,上籤,亥宮,"錦上添花色更鮮
運來祿馬喜雙全
時人莫訝功名晚
一舉登科四海傳","錦上添花色愈鮮
運來祿馬喜雙全
時人莫恨功名晚
一舉登科四海傳",此卦錦上添花之象。凡事大吉大利也。,守舊變新。運至材成。遂平生志。盡皆是命。,高達夫五十得名,高適，字達夫，渤海蓨人。其父在高適幼年己經去世，因而生活貧困，但他仍然孜孜不倦於學。他懷著遠大抱負與為國家建功立業的思想，從家鄉宋中赴長安。以為以自己的才具不難取得一官半職。但可惜未被任用，只怏怏然回到宋中。開元十八年，東北邊境爆發了唐與契丹、奚的戰爭。高適懷著愛國安邊的願望，想從軍邊塞尋，求立功的機會。但他也觀察到軍中的黑暗，而這次戰爭又失利。他悲憤地回到宋中。歸宋中後，他仍然一邊務農耕作，一邊潛心讀書，逐漸有了詩名。天寶八年，高適以五十高齡登有道科試，得到封丘縣尉的官職。但他對官職感到十分委屈，不久即棄官。天寶十二載，高適由節度判官田丘推薦入河西節度使哥舒翰幕府。被表為在驍衛兵曹，充掌書記。安史之亂起，十二月陷洛陽。高適由河西回到長安，佐哥舒翰守潼關，任左拾遺轉監察御史。哥舒翰敗降，高適赴陝西鳳翔向皇帝直陳兵敗原因，被擢侍御史，諫議大夫。永王璘起兵，肅宗任他為揚州大都督府長史，淮南節度使兼採訪使。永王璘亂平，高適有功。廣德元年，擢劍南西川節度使，又攝東川節度使，在這些官任上，高適顯示了他的政治、軍事才能和對人民的關懷體恤。廣德二年，吐蕃兵陷松、維、保三州，高適被召還京，任刑部侍郎，散騎常侍，加銀青光祿大夫，進封渤海縣侯。次年，逝世。,祈保（吉）,安,利,阻,合,生男,遲,八分,平,至,宜和,吉,西北,作福,利
48,第四十八籤,中籤,亥宮,"鵾鳥秋光化作鵬
遨翔得意盡飛騰
直沖萬里雲霄外
任是諸禽總不能","昆鳥秋來化作鵬
好游快樂喜飛騰
翱翔萬里雲霄去
餘外諸禽終不能",此卦昆鵬興變之象。凡事有變動事。,昆化為鵬。萬禽不能。桂香一折。福祿自增。,班定遠投筆從軍,《東觀漢記˙班超傳》東漢初年，有一個非常有名的歷史人物，他的名字叫做班超。班超小的時候家裡很貧窮，所以他常常要替官廳抄寫文件，來獲得一些微薄的酬勞維持家用，抄書的工作既無聊，而且也沒有什麼前途，時間久了以後班超開始感到非常疲累，所以常常嘆氣。有一天正在寫字的時候，他突然把筆丟在地上，嘆息著說：「大丈夫就算沒有別的志向，也應當仿效傅介子、張騫那樣的英雄，他們都是到遠地發展，立下了很大的功勞，最後得到了朝廷封賞的爵位，我又怎麼可以長久在筆墨間討生活呢？」他旁邊的人都取笑他不自量力，但他並不放在心上。後來，班超果然被派出使西域，他發揮了最大的智慧和勇敢，先後降服了西域五十多個國家，因為功勞很大而被封為定遠侯。今比喻有為者志在四方，勉勵人在時代需要時，棄文就武，建功疆場。,利,吉,秋旺,遲,不合,安,阻滯,中平,春利,見,勝,守舊,西,祈保,安
49,第四十九籤,中籤,亥宮,"營圖萬事若冰澌
何必慳貪苦所為
只好靜心閑處坐
待他興變復奚疑","天寒地凍水成冰
何須貪吝取功名
只好守己靜處坐
待葉興盛自然明",此卦水結成冰之象。凡事不用枉求也。,水結成冰。冰消成水。若是營謀。到底如是。,太子丹尊事荊軻,燕太子丹少年時代曾在趙國當人質，與趙政（即秦始皇）是好朋友。後來趙政回秦繼承王位，燕太子丹到了秦國當人質，秦王對他不顧當年友情，且有滅六國之意，故外逃回燕國，並與太子傅鞠武商量。荊軻先前到四方遊歷，結識了許多豪傑志士，後來到燕國，與當地的狗屠夫和擅長擊筑的高漸離交上了朋友，田光也與荊軻成為至交，知道他並非等閒之輩。太子丹透過鞠武、田光認識了荊軻。田光對荊軻講了將他推薦給太子丹的事，說完就自殺而亡。荊軻見太子丹，告訴他田光已死。太子丹再三跪拜，淚流滿面，後悔不迭。太子丹對荊軻說：「如果有一位勇士出使秦國，以重利相誘，劫持秦王，迫使他全部歸還諸侯的土地，那當然最好不過了。如若不行，乾脆殺了他，然後乘其內亂，諸侯合縱，一定能打敗秦人。只是我至今還不知道派誰合適，請荊軻幫我留意。」荊軻思忖再三，回答道：「這是國家大事，我才幹鴛駑下，恐怕不能勝任。」太子丹急忙叩頭，再三請求他不要推辭。荊軻終於答應了，太子丹馬上尊荊軻為上卿，安排他住在最好的房舍�堙A每天去問安，供給他三牲具備的飲食，送給他各種珍寶，車騎美女由他隨意享受。,不安,祈保,難,阻,不合,險,遲,虧,損,見,和,守舊,空,難痊,大吉
50,第五十籤,中籤,亥宮,"五湖四海盡行船
高掛風帆把舵堅
幸得順風隨所至
滿船寶貝稱心田","五湖四海任君行
高掛帆蓬自在撐
若得順風隨即至
滿船寶貝喜層層",此卦順風撐船之象。凡事皆順大吉也。,自在休悠。不須著力。財祿重重。無不欣美。,三寶太監下西洋,西元1405年，明朝永樂三年，三寶太監鄭和率領龐大船隊，展開下西洋的壯舉。往後二十八年間鄭和船隊七下西洋，打通了中國和東南亞、印度洋、阿拉伯地區的海上交通，到今年正好六百年。根據史料記載，鄭和龐大的船隊每次都出動兩百多艘船隻，動員兩萬七千多人，拜訪二、三十個國家，比起哥倫布發現新大陸早了八十七年，的確是人類航海史上相當璀璨的一頁。不過，在一八三三年鄭和最後一次出航之後，下西洋的活動便嘎然而止，隨著明代實施海禁政策，連小規模的航海活動都沒有出現。,利,吉（待運至）,利西,宜遲,不合,安,阻,秋利,春旺,至,虧,守舊,西方,解,南利
51,第五十一籤,上籤（中籤）,子宮,"夏日初臨日正常
人皆愁惱熱非常
天公也解諸人意
故遣薰風特送涼","夏日炎天日最長
人人愁熱悶非常
天地也解知人意
薰風拂拂自然涼",此卦人人愁熱之象。凡事隨心從意也。,進退莫疑。自有佳期。營謀用麼。不須妄為。,諸葛公隆中高臥,諸葛亮(西元181年─西元234年)，三國時著名的政治家、軍事家，字孔明，山東琅玡郡(今山東沂南)人，幼年雙親亡故，17歲隨叔父諸葛玄來到襄陽，隱居隆中。不久，諸葛玄去世。諸葛亮身居草廬，樂于耕鋤，苦讀經史，學識淵博，才思敏捷，人稱『臥龍』先生。他博覽群書，關注社會，拜師訪友，廣交名士，思考治國平天下之大計，經過10年磨礪，終成大器。東漢建安十二年(西元207年)，劉備為實現興漢大業，四處訪求賢士，到隆中『三顧茅廬』，與諸葛亮共商大計。受劉備三顧之恩，諸葛亮全面分析了當時的形勢，拿出著名的策劃案《隆中對》，提出了統一全國的戰略決策。隨後，諸葛亮『收拾琴書離隴畝』，『大展經綸補天手』，出任蜀漢丞相，輔佐劉備，為『複興漢室』，鞠躬盡瘁，奠定了『三分天下』的基礎。抱膝亭位于三顧堂前約100米處，登其上可觀隆中全景。諸葛亮出山前，因未發現值得輔佐的明主，一度茫然。晨昏時分，他常常獨自一人在此抱膝長吟，後人即于此地建亭。現有的亭子為光緒十八年(1892年)重建。諸葛亮《誡子書》中有句傳誦千古的名言：『非淡泊無以明志，非寧靜無以致遠。』可是，一個人以天下為己任而又報效無門的時候，要真正做到『淡泊、寧靜』是很難的，諸葛亮也有『抱膝長嘯』的時候。抱膝亭後有座明代建造的大型龜馱碑，碑正面刻『草廬』兩個大字，背面刻『臥龍處』，為當年諸葛亮古宅的指示碑。野雲庵位于草廬亭北100米處的半山腰處，四合院建築。據傳，當年諸葛亮常常在此高臥，飽覽隆中風光。雍正七年(1729年)襄陽郡守尹會一初建，後經重修。,祈福,謹防（凶中有吉）,秋吉,平常,合,生男,動,損,平,見,吉,舊,北方,還願,吉
52,第五十二籤,中籤（下籤）,子宮,"水中捉月費工夫
費盡功夫卻又無
莫信閑言併浪論
枉拋心力也難圖","水中捉月費功夫
費盡功夫卻又無
莫說閑言并亂語
枉勞心力強身枯",此卦貪求費力之象。凡事勞心費力也。,言諾難思。費力勞心。宅中憂慮。等遇貴人。,太白醉撈明月,唐朝詩人。自曰謫仙。被稱詩仙。無酒不歡。醉酒到湖邊。見月在水中。欲抱之。溺斃。年六十二歲。,不安,欠吉（凶。注意健康）,中平（休想）,難,未就,祈保（空寶。防小產）,有災,五分,衰,至（凶）,和（即止訟）,平常（甭提）,難（空,祈保（凶）,吉
53,第五十三籤,中籤,子宮,"失意翻成得意時
龍吟虎嘯兩相宜
青雲有路終須到
許我功名必可期","失意番成得意時
龍吟虎嘯兩相宜
青天自有通霄路
許我功名再有期",此卦龍吟虎嘯之象。凡事順意有望也。,教去即去。自有亨通。到頭必制。立地可謀。,王景略捫虱談兵,"王猛（325--375）十六國時期前秦的著名政治家。字景略，北海劇（今壽光東南）人。出身貧寒，以賣畚箕為業。志向遠大，勤奮好學，熟讀兵書。桓溫攻長安時，曾捉虱談天下事，令桓溫大驚，拜為軍謀祭酒。因為後來王猛問老師要不要追隨桓溫，老師認為恐兩人相忌，故不宜追隨桓溫，留在此處（長安）自有其他機會，所以未再追隨桓溫。後又被尚書呂婆薦於苻堅，苻堅認為自己像劉備遇到了諸葛亮，""固是夷吾、子產一類人才爾""。357年6月，秦王苻堅命其為中書侍郎，掌機密大政。轉為始平令。不久為尚書左丞、咸陽內史。又任吏部尚書、太子詹事。遷官尚書左僕射、輔國將軍、司隸校尉，加騎都尉，時36歲。1年之中，5次遷官。359年，為侍中、中書令、京兆尹。上任數旬，權豪貴戚被殺戮、判刑、免官20餘人。奸猾歹徒，斂聲屏氣。苻堅說：""吾今始知天下之有法也，天子之為尊也。""370年，統率步騎6萬，攻滅前燕國。留鎮鄴，都督關東6州。不久，入朝為丞相，達16年之久。輔佐苻堅18年，剛正清肅，善惡分明；外修兵革，內崇儒學，勸課農桑，無罪不刑，無才不任。苻堅說：""卿...勤于國政，朕如文王得太公，可以悠閒度日了。""史書讚譽他""宰政公平""。",不安,欠吉（先凶后吉）,中平,難,成就,祈保,至,五分,損,至,和,吉,見,安,吉
54,第五十四籤,下籤,子宮,"夢中得寶醒來無
應說巫山只是虛","夢中得寶醒來無
自謂南山只是鋤",此卦夢中得寶之象。凡事枉費心力也。,物在水中。形影長短。皆有分定。不用商量。,呂仙枕黃粱未熟,書生呂岩（即呂洞賓）應試落第，遇到鍾離權，隨他往終南山，於休息時做夢。夢中呂岩做了狀元升大官，取二妻想盡榮華富貴，四十年後獲罪抄家，欲人追殺而驚醒。醒來時鍾離權正煮黃梁飯。呂洞賓遂隨鍾離權求道。,欠安,謹防,阻,難,待時,祈保,遲,滯,滯,見,虧,吉,空,求神保佑,不安
55,第五十五籤,中籤（上籤）,丑宮,"相傳罔替子孫贊
衣祿豐盈富在天
金馬玉堂人快樂
飢時吃飯困時眠","父賢傳子子傳孫
衣食豐隆只靠天
堂上椿萱人快樂
饑飯渴飲困時眠",此卦接竹引泉之象。凡事謀望大吉也。,接竹引泉。流傳不絕。君子謀望。無不欣悅。,郭曖尚公主,唐朝名將郭子儀，因平定安史之亂，功勳卓著，且又忠勇謙讓，甚獲唐代宗倚重，將愛女昇平公主下嫁給郭子儀之子郭曖。郭曖與昇平公主婚後，有一次吵架時，郭曖因一時氣不過，竟對公主說：「你是仗勢自己的父親是天子嗎？天子有什麼了不起！我父親還不屑做天子呢！」公主聞言，大為氣憤，命人備車，趕回皇宮向代宗告狀。代宗明白事情原委後，說：「這一點你就不懂了，郭曖說得沒錯，假使郭家人真的想取我們而代之，這天下哪裡還是我們家的啊！」見公主明白事理後，又安慰她一番，然後讓公主回去。郭子儀知道這件事，便將郭曖囚禁起來，趕緊入宮向聖上請罪，代宗明白郭子儀來意，便說：「民間有句俗話說：『不癡不聾，是做不得家翁的。』你我對於兒女小夫妻間閨房吵嘴的話，又何必太在意呢？」於是擺擺手，命郭子儀回去。郭子儀回家後，便杖打郭曖數十大板。,欠安（大吉）,還願（大吉）,利,成,合（遇佳婿）,平安（生肖子）,動,吉,損,難（見）,有貴人,吉,見,禳星（得祖蔭）,安
56,第五十六籤,中籤,丑宮,"澗小石粗流水響
力勞撐駕恐損傷
路須指出前江去
風靜潮平儘不妨","灘小石溪流水響
風清明月貴人忙
路須借問何方去
莫取林中花草香",此卦船行小灘之象。凡事有貴人助也。,營謀用事。勞心費力。守舊待時。凡事大吉。,范少伯泛舟五湖,春秋戰國時期，吳越相爭，吳國兵強馬壯，很快打敗越國，把越王勾踐和宰相范蠡（字少伯）押作人質。越王為報滅國之仇，暫棲于吳王膝下，裝得十分老實忠誠。一次吳王肚子疼，請來郎中也沒有看出啥病。越王勾踐得知後就當著吳王夫差的面，親口嘗了他的糞便，說：“大王沒什麼病，是著了涼喝點熱酒暖暖就會好的。”吳王照勾踐說的，喝了點熱酒，果然好了。吳王看到勾踐這樣忠心，就將他放回越國。勾踐回國後接受了范蠡獻的復國三計；一是屯兵，加緊練武，二是屯田，發展農業，三是選美女送給吳王，作為內線。當時，有一個叫西施的，是個浣紗的女子，五官端正，粉面桃花，相貌過人。她在河邊浣紗時，清徹的河水映照她俊俏的身影，使他顯得更加美麗，這時，魚兒看見她的倒影，忘記了游水，漸漸地沉到河底。從此，西施這個“沉魚”的代稱，在附近流傳開來。西施被選送到吳國後，吳王一看西施長得如此漂亮，對西施百依百順，終日沉溺于遊樂，不理國事，國力耗費殆盡。越王勾踐乘虛而入，出兵攻打吳國，達到了復國報仇的目的，這裡邊有西施的很大功勞。吳國終被勾踐所滅。傳說吳被滅後，西施與范蠡泛舟五湖，不知所終。一直受到後人的懷念。,安,吉,中平,利,遂（慎）,男,至,秋利,損,至,有理,吉,帶,即安,宜修
57,第五十七籤,中籤,丑宮,"聞是聞非風過耳
好衣好祿日當空
君須記取他年事
汝意還同我意同","說是說非風過耳
好衣好祿自然豐
君莫記取當年事
汝意還如我意同",此卦孩兒見母之象。諸事貴人大吉也。,所用謀望。皆大歡喜。從公用力。如子逢娘。,甯戚飯牛叩角,春秋衛人甯戚因無法向齊桓公求取祿位，於是做商旅，駕車至齊國，傍晚在城外休憩，遇上桓公在郊外迎接賓客，甯戚在車下餵牛時，悲戚地望著桓公擊牛角唱歌，桓公聽了撫著僕從的手，驚嘆他是位奇人，命人載回而重用他為相。典出《呂氏春秋˙離俗覽˙舉難》。後泛指自我推薦而獲重用。亦作甯戚扣角。,不安,平平,順,成,合,女,阻,就,損,難,宜和,守舊,空,祈福,吉
58,第五十八籤,中籤,丑宮,"忠言善語君須記
莫向他方求別藝
勸君安守舊生涯
除卻有餘都不是","直言說話君須記
莫在他鄉求別藝
切須守己舊生涯
除是其餘都不利",此卦守舊守時之象。凡事守舊則吉也。,得住且住。可取且踞。莫宜別事。只宜守舊。,羅隱歸吳越王,"《舊五代史‧列傳十四》羅隱，《唐才子傳》：隱字昭諫。余杭人。詩名於天下，尤長於詠史，然多所譏諷，以故不中第，大為唐宰相鄭畋、李蔚所知。隱雖負文稱，然貌古而陋。畋女幼有文性，嘗覽隱詩卷，諷誦不已，畋疑其女有慕才之意。一日，隱至第，鄭女垂簾而窺之，自是絕不詠其詩。唐廣明中，因亂歸鄉里，節度使錢鏐闢為從事。開平初，太祖以右諫議大夫征，不至。魏博節度使羅紹威密表推薦，乃授給事中。年八十餘，終於錢塘。《澗泉日記》云：唐光啟三年，吳越王表奏為錢塘令，遷著作郎，辟掌書記。天祐三年，充判官。梁開平二年，授給事中。三年，遷發運使。是年卒，葬於定山鄉。金部郎中沈崧銘其墓。有文集數卷行於世。《唐才子傳》云：隱所著《讒書》、《讒本》、《淮海寓言》、《湘南應用集》、《甲乙集》、外集啟事等，並行於世。《五代史補》：羅隱在科場，恃才傲物，尤為公卿所惡，故六舉不第。時長安有羅尊師者，深於相術，隱以貌陋，恐為相術所棄，每與尊師接談，常自大以沮之。及其累遭黜落，不得已始往問焉。尊師笑曰：「貧道知之久矣，但以吾子決在一第，未可與語。今日之事，貧道敢有所隱乎！且吾子之於一第也，貧道觀之，雖首冠群英，亦不過簿尉爾。若能罷舉，東歸霸國以求用，則必富且貴矣。兩途，吾子宜自擇之。」隱懵然不知所措者數日。鄰居有賣飯媼，見隱驚曰：「何辭色之沮喪如此，莫有不決之事否？」隱謂知之，因盡以尊師之言告之。媼曰：「秀才何
自迷甚焉，且天下皆知羅隱，何須一第然後為得哉！不如急取富貴，則老婆之願也。」隱聞之釋然，遂歸錢塘。時錢鏐方得兩浙，置之幕府，使典軍中書檄，其後官給事中。初，隱罷上中書之日，費窘，因抵魏謁鄴王羅紹威，將入其境，先貽書敘其家世，鄴王為侄。幕府僚吏見其書，皆怒曰：「羅隱一布衣爾，而侄視大王，其可乎！」紹威素重士，且曰：「羅隱名振天下，王公大夫多為所薄，今惠然肯顧，其何以勝！得在侄行，為幸多矣，敢不致恭，諸公慎勿言。」於是擁旆郊迎，一見即拜，隱亦不讓。及將行，紹威贈以百萬，他物稱是，仍致書於鏐謂叔父，鏐首用之。
",平常,不利,吉,成,阻,驚,遲,五分,損,見,虧,守舊,凶,欠安,宜改
59,第五十九籤,中籤（下籤）,寅宮,"直上高樓去避身
四邊繞處是荊榛
誰知造物安排定
得意番成失意人","直上重樓去藏身
四圍荊棘繞為林
天高君命長和短
得一番成失二人",此卦守舊隨時之象。凡事待時則吉。,如醉飲酒。只宜守舊。直待時來。無災無咎。,李德裕貶崖州,此為『牛李黨爭』當中的故事，崖州為現今海南省瓊山縣唐朝末期，朝廷中的官員分成兩大集團一邊是以世家大族出身為主的李黨，由李德裕為首;另一邊是以科舉出身為主的牛黨，以牛僧孺、李宗閔為代表。兩個集團的成員互相爭權奪利，不擇手段地打擊對方，一直持續了四十多年，使得本來就不如從前的唐朝政治，更加衰敗。尤其兩黨的人都和宦官勾結，更使得朝政混亂不已。這一個集團第一次結怨是在憲宗元和三年（八○八）。當時李德裕的父親李吉甫當宰相，牛僧孺、李宗閔因為批評他的施政，得罪了李黨，因此被貶斥。到了穆宗長慶年間，牛僧孺當了宰相．就排擠李黨，將李德裕派到浙西。去當地方官。文宗大和年間是牛黨的全盛時期。牛僧孺、李宗閔一起當宰相，仍然不放過李黨，不斷地加以打擊，有時甚至拿國家大事來當兒戲，非常荒唐。到了武宗會昌年間（八四一－八四六），由於李黨勾結得勢的宦官，重新掌握了權力，李德裕當了宰相，便將牛僧孺、李宗閔眨逐到南方去。會昌六年（八四六），武宗病死，另一批宦官擁立宣宗，掌握了朝政。牛黨因為與這批宦官有勾結，重新獲得重用。李德裕便被貶到海南島，鬱鬱而死。不過，牛僧孺、李宗閔也都在這時死去，沒有機會重新執正，改由牛黨中的白敏中、令狐綯當宰相。這時候，牛李黨爭已經漸漸接近尾聲；但唐朝的政治鬥爭並沒有結束，取而代之的是宦官與大臣之間的爭權奪利，一直持續到唐末。,祈福,安（運滯。唯仁可解）,平常（切忌）,成（且慢）,不合,作福,至,半吉,大利（失利）,阻,虧,吉（不吉）,凶,祈福,吉
